frame_number,timestamp,rep_count,state,angle,pose_detected
0,2025-11-02 18:52:04.980,0,down,34.39,True
1,2025-11-02 18:52:05.278,0,down,40.90,True
2,2025-11-02 18:52:05.313,0,down,36.49,True
3,2025-11-02 18:52:05.348,0,down,5.40,True
4,2025-11-02 18:52:05.382,0,down,7.17,True
5,2025-11-02 18:52:05.415,0,down,21.39,True
6,2025-11-02 18:52:05.447,0,down,14.02,True
7,2025-11-02 18:52:05.479,0,down,11.15,True
8,2025-11-02 18:52:05.512,0,down,12.60,True
9,2025-11-02 18:52:05.543,0,down,1.40,True
10,2025-11-02 18:52:05.571,0,down,9.39,True
11,2025-11-02 18:52:05.606,0,down,8.26,True
12,2025-11-02 18:52:05.657,0,down,11.75,True
13,2025-11-02 18:52:05.710,0,down,7.30,True
14,2025-11-02 18:52:05.756,0,down,13.72,True
15,2025-11-02 18:52:05.811,0,down,5.56,True
16,2025-11-02 18:52:05.857,0,down,7.88,True
17,2025-11-02 18:52:05.909,0,down,3.70,True
18,2025-11-02 18:52:05.957,0,down,13.67,True
19,2025-11-02 18:52:06.009,0,down,65.23,True
20,2025-11-02 18:52:06.060,0,down,52.22,True
21,2025-11-02 18:52:06.109,0,down,12.10,True
22,2025-11-02 18:52:06.160,0,down,123.92,True
23,2025-11-02 18:52:06.210,0,up,175.19,True
24,2025-11-02 18:52:06.261,0,up,179.38,True
25,2025-11-02 18:52:06.314,0,up,176.39,True
26,2025-11-02 18:52:06.362,0,up,175.20,True
27,2025-11-02 18:52:06.413,0,up,174.89,True
28,2025-11-02 18:52:06.461,0,up,176.29,True
29,2025-11-02 18:52:06.514,0,up,177.15,True
30,2025-11-02 18:52:06.561,0,up,178.52,True
31,2025-11-02 18:52:06.612,0,up,179.57,True
32,2025-11-02 18:52:06.665,0,up,177.97,True
33,2025-11-02 18:52:06.713,0,up,176.16,True
34,2025-11-02 18:52:06.765,0,up,176.96,True
35,2025-11-02 18:52:06.812,0,up,174.14,True
36,2025-11-02 18:52:06.865,0,up,173.24,True
37,2025-11-02 18:52:06.913,0,up,173.31,True
38,2025-11-02 18:52:06.966,0,up,175.06,True
39,2025-11-02 18:52:07.016,0,up,177.93,True
40,2025-11-02 18:52:07.065,0,up,178.92,True
41,2025-11-02 18:52:07.117,0,up,175.39,True
42,2025-11-02 18:52:07.165,0,up,174.63,True
43,2025-11-02 18:52:07.217,0,up,171.14,True
44,2025-11-02 18:52:07.271,0,up,169.72,True
45,2025-11-02 18:52:07.317,0,up,172.05,True
46,2025-11-02 18:52:07.369,0,up,174.75,True
47,2025-11-02 18:52:07.417,0,up,175.56,True
48,2025-11-02 18:52:07.468,0,up,173.55,True
49,2025-11-02 18:52:07.517,0,up,173.64,True
50,2025-11-02 18:52:07.569,0,up,172.17,True
51,2025-11-02 18:52:07.621,0,up,171.52,True
52,2025-11-02 18:52:07.669,0,up,172.88,True
53,2025-11-02 18:52:07.722,0,up,175.92,True
54,2025-11-02 18:52:07.769,0,up,176.12,True
55,2025-11-02 18:52:07.821,0,up,177.50,True
56,2025-11-02 18:52:07.874,0,up,177.51,True
57,2025-11-02 18:52:07.920,0,up,178.00,True
58,2025-11-02 18:52:07.973,0,up,177.85,True
59,2025-11-02 18:52:08.021,0,up,177.20,True
60,2025-11-02 18:52:08.073,0,up,175.52,True
61,2025-11-02 18:52:08.120,0,up,173.37,True
62,2025-11-02 18:52:08.173,0,up,173.19,True
63,2025-11-02 18:52:08.225,0,up,173.41,True
64,2025-11-02 18:52:08.273,0,up,175.17,True
65,2025-11-02 18:52:08.325,0,up,173.42,True
66,2025-11-02 18:52:08.374,0,up,174.60,True
67,2025-11-02 18:52:08.425,0,up,176.07,True
68,2025-11-02 18:52:08.473,0,up,178.10,True
69,2025-11-02 18:52:08.525,0,up,178.79,True
70,2025-11-02 18:52:08.578,0,up,179.44,True
71,2025-11-02 18:52:08.624,0,up,178.96,True
72,2025-11-02 18:52:08.677,0,up,178.67,True
73,2025-11-02 18:52:08.724,0,up,179.11,True
74,2025-11-02 18:52:08.777,0,up,179.56,True
75,2025-11-02 18:52:08.830,0,up,179.46,True
76,2025-11-02 18:52:08.877,0,up,179.35,True
77,2025-11-02 18:52:08.929,0,up,179.78,True
78,2025-11-02 18:52:08.976,0,up,179.71,True
79,2025-11-02 18:52:09.030,0,up,179.93,True
80,2025-11-02 18:52:09.077,0,up,179.38,True
81,2025-11-02 18:52:09.128,0,up,179.86,True
82,2025-11-02 18:52:09.181,0,up,179.07,True
83,2025-11-02 18:52:09.229,0,up,178.88,True
84,2025-11-02 18:52:09.282,0,up,178.62,True
85,2025-11-02 18:52:09.328,0,up,178.95,True
86,2025-11-02 18:52:09.383,0,up,179.46,True
87,2025-11-02 18:52:09.433,0,up,179.84,True
88,2025-11-02 18:52:09.481,0,up,179.17,True
89,2025-11-02 18:52:09.533,0,up,178.56,True
90,2025-11-02 18:52:09.581,0,up,178.09,True
91,2025-11-02 18:52:09.634,0,up,177.70,True
92,2025-11-02 18:52:09.681,0,up,177.43,True
93,2025-11-02 18:52:09.733,0,up,178.39,True
94,2025-11-02 18:52:09.785,0,up,179.00,True
95,2025-11-02 18:52:09.833,0,up,179.08,True
96,2025-11-02 18:52:09.886,0,up,179.14,True
97,2025-11-02 18:52:09.933,0,up,178.76,True
98,2025-11-02 18:52:09.986,0,up,179.22,True
99,2025-11-02 18:52:10.034,0,up,179.49,True
100,2025-11-02 18:52:10.083,0,up,179.51,True
101,2025-11-02 18:52:10.136,0,up,179.70,True
102,2025-11-02 18:52:10.182,0,up,179.60,True
103,2025-11-02 18:52:10.234,0,up,178.95,True
104,2025-11-02 18:52:10.283,0,up,178.38,True
105,2025-11-02 18:52:10.336,0,up,178.69,True
106,2025-11-02 18:52:10.387,0,up,176.88,True
107,2025-11-02 18:52:10.434,0,up,176.66,True
108,2025-11-02 18:52:10.489,0,up,177.00,True
109,2025-11-02 18:52:10.537,0,up,178.06,True
110,2025-11-02 18:52:10.589,0,up,176.77,True
111,2025-11-02 18:52:10.634,0,up,175.95,True
112,2025-11-02 18:52:10.689,0,up,175.02,True
113,2025-11-02 18:52:10.742,0,up,174.99,True
114,2025-11-02 18:52:10.789,0,up,173.27,True
115,2025-11-02 18:52:10.841,0,up,172.66,True
116,2025-11-02 18:52:10.888,0,up,170.75,True
117,2025-11-02 18:52:10.941,0,up,168.64,True
118,2025-11-02 18:52:10.992,0,up,166.41,True
119,2025-11-02 18:52:11.041,0,up,164.33,True
120,2025-11-02 18:52:11.092,0,up,164.72,True
121,2025-11-02 18:52:11.142,0,up,164.94,True
122,2025-11-02 18:52:11.193,0,up,162.52,True
123,2025-11-02 18:52:11.243,0,up,163.44,True
124,2025-11-02 18:52:11.292,0,up,163.92,True
125,2025-11-02 18:52:11.344,0,up,161.89,True
126,2025-11-02 18:52:11.393,0,up,155.75,True
127,2025-11-02 18:52:11.445,0,up,152.27,True
128,2025-11-02 18:52:11.492,0,up,153.54,True
129,2025-11-02 18:52:11.544,0,up,157.38,True
130,2025-11-02 18:52:11.594,0,up,157.48,True
131,2025-11-02 18:52:11.645,0,up,163.97,True
132,2025-11-02 18:52:11.699,0,up,157.28,True
133,2025-11-02 18:52:11.745,0,up,154.67,True
134,2025-11-02 18:52:11.797,0,up,156.12,True
135,2025-11-02 18:52:11.845,0,up,157.44,True
136,2025-11-02 18:52:11.897,0,up,157.86,True
137,2025-11-02 18:52:11.948,0,up,157.08,True
138,2025-11-02 18:52:11.997,0,up,164.90,True
139,2025-11-02 18:52:12.048,0,up,175.27,True
140,2025-11-02 18:52:12.096,0,up,174.62,True
141,2025-11-02 18:52:12.149,0,up,168.03,True
142,2025-11-02 18:52:12.197,0,up,162.16,True
143,2025-11-02 18:52:12.249,0,up,158.33,True
144,2025-11-02 18:52:12.300,0,up,157.03,True
145,2025-11-02 18:52:12.349,0,up,166.02,True
146,2025-11-02 18:52:12.400,0,up,168.40,True
147,2025-11-02 18:52:12.449,0,up,166.86,True
148,2025-11-02 18:52:12.500,0,up,165.19,True
149,2025-11-02 18:52:12.552,0,up,146.01,True
150,2025-11-02 18:52:12.600,0,up,138.74,True
151,2025-11-02 18:52:12.653,0,up,137.79,True
152,2025-11-02 18:52:12.700,0,up,134.47,True
153,2025-11-02 18:52:12.752,0,up,132.21,True
154,2025-11-02 18:52:12.802,0,up,132.65,True
155,2025-11-02 18:52:12.854,0,up,129.00,True
156,2025-11-02 18:52:12.905,0,up,115.97,True
157,2025-11-02 18:52:12.953,0,up,120.93,True
158,2025-11-02 18:52:13.005,0,up,117.12,True
159,2025-11-02 18:52:13.053,0,up,169.50,True
160,2025-11-02 18:52:13.104,0,up,159.53,True
161,2025-11-02 18:52:13.153,1,down,51.43,True
162,2025-11-02 18:52:13.205,1,down,97.11,True
163,2025-11-02 18:52:13.257,1,down,134.07,True
164,2025-11-02 18:52:13.304,1,down,157.52,True
165,2025-11-02 18:52:13.356,1,down,112.32,True
166,2025-11-02 18:52:13.405,1,down,58.53,True
167,2025-11-02 18:52:13.459,1,down,57.16,True
168,2025-11-02 18:52:13.510,1,down,63.84,True
